ISCO,job_title,sub_major_category,sub_major_category_label,major_category,major_category_label
9334,shelf stacker,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7543,component inspector,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7421,consumer electronics repairman,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
1324,assistant international trade manager,13,Production and Specialized Services Managers,1,Managers
3311,energy market forecaster,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7122,tiler and plasterer,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
9333,steel checker,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7515,master coffee roaster,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7511,salmon trimmer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
8332,animal transporter,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
2330,teacher of drama in secondary schools,23,Teaching professionals,2,Professionals
3412,care home advocate,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2421,performance and planning manager,24,Business and administration professionals,2,Professionals
8159,parachute maker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1420,fresh seafood shop manager,14,"Hospitality, retail and other services managers",1,Managers
2659,actor & puppeteer,26,"Legal, social and cultural professionals",2,Professionals
3214,prosthetic support maker,32,Health associate professionals,3,Technicians and Associate Professionals
7231,mechanical bogie fitter,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2432,activism coordinator,24,Business and administration professionals,2,Professionals
9333,delivery foreman,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
3254,certified optical technician,32,Health associate professionals,3,Technicians and Associate Professionals
7113,mason,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
8132,paper coater,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3111,nuclear power plant technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5414,security guard chief,54,Protective services workers,5,Service and Sales Workers
3118,rolling stock draughtsperson,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5120,catering worker,51,Personal service workers,5,Service and Sales Workers
3131,power room attendant,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7124,loft insulator,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
7115,craft carpenter,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
9332,coachwoman,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
3353,claimant fraud investigator,33,Business and administration associate professionals,3,Technicians and Associate Professionals
5112,train crew,51,Personal service workers,5,Service and Sales Workers
8152,textile supervisors,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8189,electrical insulator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7322,tierer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7231,vehicle interior restorer,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2655,film & theater actress,26,"Legal, social and cultural professionals",2,Professionals
2612,justice of the supreme court,26,"Legal, social and cultural professionals",2,Professionals
3322,commercial sales executive,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2512,python developer,25,Information and communications technology professionals,2,Professionals
7322,reprography operator,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2114,geoscientist,21,Science and engineering professionals,2,Professionals
3435,stagehand,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8312,level crossing signalwoman,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
9333,load assembler,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7317,broom manufacturer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2635,social outreach worker,26,"Legal, social and cultural professionals",2,Professionals
7312,piano builder,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7321,typographer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7221,forge hand,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2631,macro analyst,26,"Legal, social and cultural professionals",2,Professionals
2152,actuator and sensor engineer,21,Science and engineering professionals,2,Professionals
2422,education policy advisor,24,Business and administration professionals,2,Professionals
3339,resort entertainment manager,33,Business and administration associate professionals,3,Technicians and Associate Professionals
4323,luggage flow supervisor,43,Numerical and material recording clerks,4,Clerical Support Workers
7223,metal trimmer,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
1431,beauty spa manager,14,"Hospitality, retail and other services managers",1,Managers
2151,illuminating engineer,21,Science and engineering professionals,2,Professionals
8131,oil refinery worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3131,coal operator,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1420,confectionery store manager,14,"Hospitality, retail and other services managers",1,Managers
7321,map engraver,73,Handicraft and printing workers,7,Craft and Related Trades Workers
8159,hat leather binder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2310,chemical science docent,23,Teaching professionals,2,Professionals
8114,graphite machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1324,assistant export manager in coffee,13,Production and Specialized Services Managers,1,Managers
8171,sisal creel attendant,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
4323,tram controller,43,Numerical and material recording clerks,4,Clerical Support Workers
2431,brand development manager,24,Business and administration professionals,2,Professionals
2529,ICT resilience manager,25,Information and communications technology professionals,2,Professionals
7421,machine mechanic,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
4312,revenue inspector,43,Numerical and material recording clerks,4,Clerical Support Workers
3324,wholesale trader in household goods,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7223,laser cutting technician,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8151,card hand,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2310,pharmacy lector,23,Teaching professionals,2,Professionals
1212,personnel director,12,Administrative and commercial managers,1,Managers
2263,infection control manager,22,Health professionals,2,Professionals
2163,leather goods drawer,21,Science and engineering professionals,2,Professionals
9329,mould cleaner,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
8112,furnace charger,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8154,randing machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8181,toughener,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3118,product development engineering drafting consultant,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2151,electromagnetic engineering consultant,21,Science and engineering professionals,2,Professionals
3311,stock brokers,33,Business and administration associate professionals,3,Technicians and Associate Professionals
1345,director of FE college,13,Production and Specialized Services Managers,1,Managers
3435,lead automation operator,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8141,tread builder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2230,therapist in TCM,22,Health professionals,2,Professionals
8131,oil maker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8151,machine winder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5131,tea maid,51,Personal service workers,5,Service and Sales Workers
7511,meat cutter,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
8219,dial marker,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
8151,cabling machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5111,cabin crew manager,51,Personal service workers,5,Service and Sales Workers
3323,range selector,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8131,chlorine gas worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8219,wicker,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
8212,dental imaging device assembler,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
1219,unit manager,12,Administrative and commercial managers,1,Managers
3422,tennis coach,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8160,pulper,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7513,yoghurt producer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
3111,groundwater monitoring technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5131,messroom steward,51,Personal service workers,5,Service and Sales Workers
4323,tram dispatcher,43,Numerical and material recording clerks,4,Clerical Support Workers
5223,fresh fish shop salesperson,52,Sales workers,5,Service and Sales Workers
2151,incorporated engineer,21,Science and engineering professionals,2,Professionals
8131,burnerman,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2643,closed caption editor,26,"Legal, social and cultural professionals",2,Professionals
7223,bobbin turner,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2431,network marketing specialist,24,Business and administration professionals,2,Professionals
3111,materials testing technologist,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7543,tobacco products inspector,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
5221,fashion retailer,52,Sales workers,5,Service and Sales Workers
7126,distribution craftsman,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
2523,network configurator,25,Information and communications technology professionals,2,Professionals
2221,nurse responsible for general care,22,Health professionals,2,Professionals
5414,security entrance attendant,54,Protective services workers,5,Service and Sales Workers
3154,transportation inspector,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
8142,vacuum forming machine setter,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5223,used car specialised seller,52,Sales workers,5,Service and Sales Workers
1420,carpet and rug shop manager,14,"Hospitality, retail and other services managers",1,Managers
8132,film printer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1311,forest nursery manager,13,Production and Specialized Services Managers,1,Managers
1324,china and glassware logistics manager,13,Production and Specialized Services Managers,1,Managers
5419,community support officer,54,Protective services workers,5,Service and Sales Workers
1349,environmental protection manager,13,Production and Specialized Services Managers,1,Managers
9621,delivery agent,96,Refuse workers and other elementary workers,9,Elementary Occupations
8343,gantry driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
210,rapid response operative,2,Non-commissioned armed forces officers,0,Armed Forces Occupations
7231,service technician,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
7223,cylinder borer,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8219,shader,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
9112,super,91,Cleaners and helpers,9,Elementary Occupations
2431,commercial writer,24,Business and administration professionals,2,Professionals
5243,door to door salesman,52,Sales workers,5,Service and Sales Workers
7317,electric toy repairman,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2643,baltist,26,"Legal, social and cultural professionals",2,Professionals
7131,paper hanger,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
1219,department manager,12,Administrative and commercial managers,1,Managers
7222,tool doctor,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
7312,bell maker,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7522,crate repairer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7312,lute maker,73,Handicraft and printing workers,7,Craft and Related Trades Workers
9329,press tenter,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
2114,seismology scholar,21,Science and engineering professionals,2,Professionals
2310,business teacher,23,Teaching professionals,2,Professionals
8151,winding master,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3512,it helpline support officer,35,Information and communications technicians,3,Technicians and Associate Professionals
1330,telecommunications project manager,13,Production and Specialized Services Managers,1,Managers
7322,litho printer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
8160,brakesman,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2114,geoscience technician,21,Science and engineering professionals,2,Professionals
4225,customer advocate,42,Customer services clerks,4,Clerical Support Workers
2635,youth social worker,26,"Legal, social and cultural professionals",2,Professionals
1223,wind tunnel manager,12,Administrative and commercial managers,1,Managers
7512,biscuit coverer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7534,aircraft carpeting technician,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2144,container equipment sub engineer,21,Science and engineering professionals,2,Professionals
5164,dog sitter,51,Personal service workers,5,Service and Sales Workers
7322,foil stamp machine operator,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2263,occupational hygienist,22,Health professionals,2,Professionals
3257,lloyd's surveyor,32,Health associate professionals,3,Technicians and Associate Professionals
3131,nuclear reactor operative,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7422,telecoms equipment maintenance engineer,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
1420,video shop manager,14,"Hospitality, retail and other services managers",1,Managers
8122,wire pickler,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2519,ICT test analyst,25,Information and communications technology professionals,2,Professionals
9129,carpet cleaning technician,91,Cleaners and helpers,9,Elementary Occupations
8160,tobacco machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9313,cement gun operator,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7223,profile miller,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2356,system trainer,23,Teaching professionals,2,Professionals
2421,business analyst,24,Business and administration professionals,2,Professionals
4323,transport controller,43,Numerical and material recording clerks,4,Clerical Support Workers
7224,card stripper,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
1324,leather raw materials purchaser,13,Production and Specialized Services Managers,1,Managers
7413,lineman,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
5151,linen services manager,51,Personal service workers,5,Service and Sales Workers
8154,finishing department manager,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
6221,fish culturist,62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled Agricultural, Forestry and Fishery Workers"
4312,procurement assistant,43,Numerical and material recording clerks,4,Clerical Support Workers
7422,computer technical support agent,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
3323,IT buyer,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2330,secondary school literature tutor,23,Teaching professionals,2,Professionals
3112,pipeline operations technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2635,social pedagogy project worker,26,"Legal, social and cultural professionals",2,Professionals
2642,event reporter,26,"Legal, social and cultural professionals",2,Professionals
1324,graduate import export manager in china and glassware,13,Production and Specialized Services Managers,1,Managers
5223,phone salesperson,52,Sales workers,5,Service and Sales Workers
3412,welfare project coordinator,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
7322,foil stamping operator,73,Handicraft and printing workers,7,Craft and Related Trades Workers
8159,badge worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7223,grinder-setter,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
4321,parts supplier,43,Numerical and material recording clerks,4,Clerical Support Workers
8189,laser operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3117,metallurgy test technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2144,marine engineer,21,Science and engineering professionals,2,Professionals
2152,language technology engineering expert,21,Science and engineering professionals,2,Professionals
5223,carpet specialised seller,52,Sales workers,5,Service and Sales Workers
3341,clerical supervisor,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8211,moped constructor,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
8212,PCB assembler,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
8114,stone splitting machine operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2250,diagnostic imaging veterinarian,22,Health professionals,2,Professionals
7115,shutterer,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
7126,sewerage network repair operative,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
2163,leatherware designer,21,Science and engineering professionals,2,Professionals
8121,pitman's helper,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7126,gas service operative,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
2144,agricultural equipment engineering specialist,21,Science and engineering professionals,2,Professionals
8160,distillery miller,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3121,mining supervisor,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5311,school bus attendant,53,Personal care workers,5,Service and Sales Workers
1321,metal planning engineer,13,Production and Specialized Services Managers,1,Managers
2652,clarinetist,26,"Legal, social and cultural professionals",2,Professionals
3435,stage technician assistant,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
7315,glass presser,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2659,street magician,26,"Legal, social and cultural professionals",2,Professionals
3324,trainee wholesale merchant in fruit and vegetables,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7223,adjusting machine operator,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2269,practitioner of therapeutic radiography,22,Health professionals,2,Professionals
8154,hot plater,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3112,health and safety advisor on construction sites,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2634,psychotherapist,26,"Legal, social and cultural professionals",2,Professionals
8121,silver stripper,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5120,second kitchen chef,51,Personal service workers,5,Service and Sales Workers
2632,senior geographical information systems analyst,26,"Legal, social and cultural professionals",2,Professionals
8212,electric keyboard builder,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
2144,chief engineering inspector,21,Science and engineering professionals,2,Professionals
7411,electrical installer,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
8160,line operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2359,pastoral mentor,23,Teaching professionals,2,Professionals
3324,wholesale trader in pharmaceutical goods,33,Business and administration associate professionals,3,Technicians and Associate Professionals
9213,farm handyman,92,"Agricultural, forestry and fishery labourers",9,Elementary Occupations
2512,software requirement analyst,25,Information and communications technology professionals,2,Professionals
2643,captioner,26,"Legal, social and cultural professionals",2,Professionals
8121,gear driver,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7231,motorsport technician,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2611,writer to the signet,26,"Legal, social and cultural professionals",2,Professionals
2413,middle office risk and control analyst,24,Business and administration professionals,2,Professionals
8151,silk filler,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5223,florist's assistant,52,Sales workers,5,Service and Sales Workers
6121,cattle specialist,61,Market-oriented skilled agricultural workers,6,"Skilled Agricultural, Forestry and Fishery Workers"
2261,consultant dentist,22,Health professionals,2,Professionals
5221,fish retailer,52,Sales workers,5,Service and Sales Workers
2161,interior architect,21,Science and engineering professionals,2,Professionals
5411,auxiliary mine rescue worker,54,Protective services workers,5,Service and Sales Workers
2431,sales promotion officer,24,Business and administration professionals,2,Professionals
7536,custom shoemaker,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2120,betting,21,Science and engineering professionals,2,Professionals
2149,assembly engineer,21,Science and engineering professionals,2,Professionals
3119,automation control engineering inspector,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2355,photography teacher,23,Teaching professionals,2,Professionals
3135,annealing furnace operator,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
4222,111 call handler,42,Customer services clerks,4,Clerical Support Workers
3435,automation operator & programmer,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
310,mine disposal technician,3,"Armed forces occupations, other ranks",0,Armed Forces Occupations
8159,mattress forming machine operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5223,antique book shop salesperson,52,Sales workers,5,Service and Sales Workers
2113,development chemist,21,Science and engineering professionals,2,Professionals
4311,accounts officer,43,Numerical and material recording clerks,4,Clerical Support Workers
2146,oil and natural gas engineer,21,Science and engineering professionals,2,Professionals
2632,archaeologist scientist,26,"Legal, social and cultural professionals",2,Professionals
7541,rov supervisor,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2421,project delivery officer,24,Business and administration professionals,2,Professionals
8122,core cleaner,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1221,banking products manager,12,Administrative and commercial managers,1,Managers
3423,shooting instructor,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
6130,farm managers,61,Market-oriented skilled agricultural workers,6,"Skilled Agricultural, Forestry and Fishery Workers"
2433,graduate technical sales representative in machinery and industrial equipment,24,Business and administration professionals,2,Professionals
3422,muay thai boxing instructor,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2412,private banking relationship managers,24,Business and administration professionals,2,Professionals
9623,vending machine supervisor,96,Refuse workers and other elementary workers,9,Elementary Occupations
9212,jockey,92,"Agricultural, forestry and fishery labourers",9,Elementary Occupations
3153,navigator,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
8331,pcv driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
7521,veneer layer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
5414,loss prevention manager,54,Protective services workers,5,Service and Sales Workers
7127,air conditioning and refrigeration inspector,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
8156,toe puf moulder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7223,spinning lathe operator,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3435,stage workshop supervisor,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
5142,suntan salon attendant,51,Personal service workers,5,Service and Sales Workers
2512,computer designer,25,Information and communications technology professionals,2,Professionals
3119,textile chemical laboratory tester,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3412,disability care assistant,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8111,underground miner equipment operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7543,consumer products quality control inspector,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
3113,marine energy technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7113,artisanal stone mason,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
8322,patient transport driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
8132,film splicer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3313,compliance assistant,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2166,vfx animator,21,Science and engineering professionals,2,Professionals
1420,antiquarian book shop manager,14,"Hospitality, retail and other services managers",1,Managers
8111,driller,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8122,paste distributor,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8181,teazer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8219,edge tool finisher,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
3313,general-ledger bookkeeper,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7323,gilder,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2621,museum conservation officer,26,"Legal, social and cultural professionals",2,Professionals
7311,optical instruments engineer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
8151,coloured winder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7516,cigar bunch maker,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7322,flexographic press specialist,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2163,maker,21,Science and engineering professionals,2,Professionals
1420,draper,14,"Hospitality, retail and other services managers",1,Managers
3423,activities manager,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
7112,oven builder,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
2320,vocational tutor,23,Teaching professionals,2,Professionals
7213,duct fabricator,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
7317,heritage woodcarver,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7233,rectifying man,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8183,wine cooper,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3131,steam turbine machinery operator,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
8114,mortar mill operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8344,stacker truck driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
8154,textile dyer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7223,briquetting machine operators,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
4213,pawnbroker,42,Customer services clerks,4,Clerical Support Workers
8131,refinery operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8142,lead machine operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1324,assistant import export manager in hides,13,Production and Specialized Services Managers,1,Managers
7213,container equipment assembly line machine tender,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3312,bank account manager,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8160,drying attendant,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7317,basket worker,73,Handicraft and printing workers,7,Craft and Related Trades Workers
5321,dialysis assistant,53,Personal care workers,5,Service and Sales Workers
8131,nitroglycerin separator operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
310,armed forces pilot,3,"Armed forces occupations, other ranks",0,Armed Forces Occupations
2634,specialist in educational psychology,26,"Legal, social and cultural professionals",2,Professionals
8211,civilian aircraft engine assembler,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
1439,garage manager,14,"Hospitality, retail and other services managers",1,Managers
8160,cigarette machine tender,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2166,production designer,21,Science and engineering professionals,2,Professionals
7321,phototypesetting machine technician,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7223,dab maker,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
5246,refreshment room attendant,52,Sales workers,5,Service and Sales Workers
3324,wholesale buyer in computers,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8219,plastic products assembler,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
3119,manufacturing  engineering supervisor,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3435,property maker and scenic artist,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2423,personnel services officer,24,Business and administration professionals,2,Professionals
5246,snack bar attendant,52,Sales workers,5,Service and Sales Workers
2356,digital literacy educator,23,Teaching professionals,2,Professionals
2131,pharmacology research scientist,21,Science and engineering professionals,2,Professionals
1324,logistics coordinator,13,Production and Specialized Services Managers,1,Managers
6112,tea planter,61,Market-oriented skilled agricultural workers,6,"Skilled Agricultural, Forestry and Fishery Workers"
2342,Modern School Movement teacher,23,Teaching professionals,2,Professionals
2632,archaeologist site assistant,26,"Legal, social and cultural professionals",2,Professionals
3315,professional valuer of personal property,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2149,contract engineering expert,21,Science and engineering professionals,2,Professionals
